날짜,시간,국가,경제지표,실제,예상,이전,중요도
08.16 (Tue), 15:00,gb,실업률 Jun,3.8%,3.8%,3.8%,상
08.15 (Mon), 11:00,cn,산업생산 (YOY) Jul,3.8%,4.6%,3.9%,상
08.12 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Aug,55.1,52.5,51.5,상
08.12 (Fri), 15:00,gb,GDP(MoM) Jun,-0.6%,-1.3%,0.4%,상
08.12 (Fri), 15:00,gb,경제성장률(YoY) 예상 Q2,2.9%,2.8%,8.7%,상
08.12 (Fri), 15:00,gb,경제성장률(QoQ) 예상 Q2,-0.1%,-0.2%,0.8%,상
08.11 (Thu), 21:30,us,생산자물가지수 (MoM) Jul,-0.5%,0.2%,1%,상
08.10 (Wed), 21:30,us,인플레이션율(YoY) Jul,8.5%,8.7%,9.1%,상
08.10 (Wed), 21:30,us,핵심물가상승률 (YoY) Jul,5.9%,6.1%,5.9%,상
08.10 (Wed), 10:30,cn,인플레이션율(YoY) Jul,2.7%,2.9%,2.5%,상
08.07 (Sun), 12:00,cn,무역수지 Jul,$101.26B,$90B,$97.94B,상
08.05 (Fri), 21:30,us,비 농장 급여 Jul,528K,250K,398K,상
08.05 (Fri), 21:30,us,실업률 Jul,3.5%,3.6%,3.6%,상
08.04 (Thu), 21:30,us,무역수지 Jun,$-79.6B,$-80.1B,$-84.9B,상
08.04 (Thu), 20:00,gb,영란은행 기준금리 결정 ,1.75%,1.75%,1.25%,상
08.03 (Wed), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Jul,56.7,53.5,55.3,상
08.03 (Wed), 17:30,gb,S&amp;P 글로벌/CIPS 영국 서비스 PMI 최종 Jul,52.6,53.3,54.3,상
08.02 (Tue), 23:00,us,구인·이직 보고서(JOLT) 채용공고 Jun,10.698M,11M,11.303M,상
08.01 (Mon), 23:00,us,ISM 제조업 PMI Jul,52.8,52,53,상
08.01 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Jul,50.4,51.5,51.7,상
07.31 (Sun), 10:30,cn,NBS 제조업 구매자관리자지수(PMI) Jul,49,50.4,50.2,상
07.29 (Fri), 21:30,us,개인소득 (MoM) Jun,0.6%,0.5%,0.6%,상
07.29 (Fri), 21:30,us,개인소비 Jun,1.1%,0.9%,0.3%,상
07.28 (Thu), 21:30,us,경제성장률(QoQ) 추정 Q2,-0.9%,0.5%,-1.6%,상
07.28 (Thu), 03:30,us,연준 기자 회견 ,,,,상
07.28 (Thu), 03:00,us,연준 기준금리 결정 ,2.5%,2.5%,1.75%,상
07.27 (Wed), 21:30,us,내구재 주문 (월간) Jun,1.9%,-0.5%,0.8%,상
07.26 (Tue), 23:00,us,신규주택판매 Jun,0.59M,0.66M,0.642M,상
07.22 (Fri), 17:30,gb,S&amp;P 글로벌/CIPS 제조업 PMI 플래시 Jul,52.2,52,52.8,상
07.22 (Fri), 15:00,gb,월간 소매 판매 Jun,-0.1%,-0.3%,-0.8%,상
07.22 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Jul,-41,-42,-41,상
07.20 (Wed), 23:00,us,기존주택판매 Jun,5.12M,5.38M,5.41M,상
07.20 (Wed), 15:00,gb,인플레이션율(YoY) Jun,9.4%,9.3%,9.1%,상
07.19 (Tue), 21:30,us,건축허가 Jun,1.685M,1.65M,1.695M,상
07.19 (Tue), 21:30,us,신규주택착공 Jun,1.559M,1.58M,1.591M,상
07.19 (Tue), 15:00,gb,실업수당청구 변동 Jun,-20.1K,,-34.7K,상
07.19 (Tue), 15:00,gb,실업률 May,3.8%,3.9%,3.8%,상
07.15 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Jul,51.1,49.9,50,상
07.15 (Fri), 21:30,us,월간 소매 판매 Jun,1%,0.8%,-0.1%,상
07.15 (Fri), 11:00,cn,경제성장률(YoY) Q2,0.4%,1%,4.8%,상
07.15 (Fri), 11:00,cn,산업생산 (YOY) Jun,3.9%,4.1%,0.7%,상
07.14 (Thu), 21:30,us,생산자물가지수 (MoM) Jun,1.1%,0.8%,0.9%,상
07.13 (Wed), 21:30,us,핵심물가상승률 (YoY) Jun,5.9%,5.7%,6%,상
07.13 (Wed), 21:30,us,인플레이션율(YoY) Jun,9.1%,8.8%,8.6%,상
07.13 (Wed), 15:30,cn,무역수지 Jun,$97.94B,$75.7B,$78.76B,상
07.13 (Wed), 15:00,gb,GDP(MoM) May,0.5%,0%,-0.2%,상
07.09 (Sat), 10:30,cn,인플레이션율(YoY) Jun,2.5%,2.4%,2.1%,상
07.08 (Fri), 21:30,us,실업률 Jun,3.6%,3.6%,3.6%,상
07.08 (Fri), 21:30,us,비 농장 급여 Jun,372K,268K,384K,상
07.07 (Thu), 21:30,us,무역수지 May,$-85.5B,$-84.9B,$-86.7B,상
07.07 (Thu), 03:00,us,FOMC 회의록 ,,,,상
07.06 (Wed), 23:00,us,구인·이직 보고서(JOLT) 채용공고 May,11.254M,11M,11.681M,상
07.06 (Wed), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Jun,55.3,54.3,55.9,상
07.05 (Tue), 17:30,gb,S&amp;P 글로벌/CIPS 영국 서비스 PMI 최종 Jun,54.3,53.4,53.4,상
07.01 (Fri), 23:00,us,ISM 제조업 PMI Jun,53,54.9,56.1,상
07.01 (Fri), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Jun,51.7,50.1,48.1,상
06.30 (Thu), 21:30,us,개인소득 (MoM) May,0.5%,0.5%,0.5%,상
06.30 (Thu), 21:30,us,개인소비 May,0.2%,0.4%,0.6%,상
06.30 (Thu), 10:30,cn,NBS 제조업 구매자관리자지수(PMI) Jun,50.2,50.5,49.6,상
06.29 (Wed), 22:00,us,연준 의장 파월 연설 ,,,,상
06.29 (Wed), 22:00,gb,BoE Gov Bailey 연설 ,,,,상
06.27 (Mon), 21:30,us,내구재 주문 (월간) May,0.7%,0.1%,0.4%,상
06.24 (Fri), 23:00,us,신규주택판매 May,0.696M,0.588M,0.629M,상
06.24 (Fri), 15:00,gb,월간 소매 판매 May,-0.5%,-0.7%,0.4%,상
